Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,4,1,3,17,30,118.656,118.706,118.192,118.250,5504.000,
EURJPY,2017,4,1,3,17,0,118.764,118.827,118.648,118.655,7646.000,
EURJPY,2017,4,1,3,16,30,118.773,118.845,118.722,118.763,5340.000,
EURJPY,2017,4,1,3,16,0,118.733,118.780,118.683,118.771,3102.000,
EURJPY,2017,4,1,3,15,30,118.671,118.773,118.662,118.732,3492.000,
EURJPY,2017,4,1,3,15,0,118.685,118.702,118.597,118.671,4256.000,
EURJPY,2017,4,1,3,14,30,118.696,118.741,118.672,118.686,3034.000,
EURJPY,2017,4,1,3,14,0,118.733,118.744,118.678,118.696,2369.000,
EURJPY,2017,4,1,3,13,30,118.745,118.813,118.728,118.733,2615.000,
EURJPY,2017,4,1,3,13,0,118.737,118.778,118.635,118.744,3248.000,
EURJPY,2017,4,1,3,12,30,118.687,118.755,118.680,118.737,3057.000,
EURJPY,2017,4,1,3,12,0,118.857,118.858,118.669,118.686,3207.000,
EURJPY,2017,4,1,3,11,30,118.888,118.890,118.774,118.857,3823.000,
EURJPY,2017,4,1,3,11,0,118.849,118.950,118.825,118.887,3516.000,
EURJPY,2017,4,1,3,10,30,118.878,118.929,118.759,118.849,4086.000,
EURJPY,2017,4,1,3,10,0,119.000,119.044,118.846,118.874,4018.000,
EURJPY,2017,4,1,3,9,30,118.967,119.020,118.932,118.997,3258.000,
EURJPY,2017,4,1,3,9,0,118.917,119.023,118.908,118.968,3893.000,
EURJPY,2017,4,1,3,8,30,119.014,119.028,118.899,118.920,2156.000,
EURJPY,2017,4,1,3,8,0,118.897,119.013,118.895,119.013,2386.000,
EURJPY,2017,4,1,3,7,30,118.912,118.946,118.886,118.897,1735.000,
EURJPY,2017,4,1,3,7,0,118.810,118.932,118.810,118.913,2334.000,
EURJPY,2017,4,1,3,6,30,118.860,118.865,118.792,118.810,1900.000,
EURJPY,2017,4,1,3,6,0,118.905,118.939,118.842,118.858,1686.000,
EURJPY,2017,4,1,3,5,30,118.886,118.915,118.885,118.905,1389.000,
EURJPY,2017,4,1,3,5,0,118.895,118.927,118.874,118.884,2140.000,
EURJPY,2017,4,1,3,4,30,118.845,118.903,118.803,118.896,2564.000,
EURJPY,2017,4,1,3,4,0,118.784,118.858,118.784,118.847,2365.000,
EURJPY,2017,4,1,3,3,30,118.716,118.816,118.681,118.779,3312.000,
EURJPY,2017,4,1,3,3,0,118.710,118.790,118.652,118.717,4535.000,
EURJPY,2017,4,1,3,2,30,118.779,118.810,118.682,118.714,2198.000,
EURJPY,2017,4,1,3,2,0,118.792,118.833,118.767,118.781,2185.000,
EURJPY,2017,4,1,3,1,30,118.796,118.839,118.747,118.795,1789.000,
EURJPY,2017,4,1,3,1,0,118.750,118.893,118.742,118.796,2142.000,
EURJPY,2017,4,1,3,0,30,118.717,118.776,118.715,118.748,696.000,
EURJPY,2017,4,1,3,0,0,118.772,118.803,118.706,118.717,607.000,
EURJPY,2017,3,5,31,23,30,118.706,118.729,118.620,118.646,3268.000,
EURJPY,2017,3,5,31,23,0,118.761,118.785,118.660,118.705,2855.000,
EURJPY,2017,3,5,31,22,30,118.842,118.895,118.745,118.778,3285.000,
EURJPY,2017,3,5,31,22,0,118.882,118.923,118.835,118.837,2900.000,
EURJPY,2017,3,5,31,21,30,118.892,118.961,118.878,118.884,3283.000,
EURJPY,2017,3,5,31,21,0,119.018,119.028,118.872,118.892,3367.000,
EURJPY,2017,3,5,31,20,30,119.054,119.077,119.015,119.020,2523.000,
EURJPY,2017,3,5,31,20,0,119.067,119.072,118.997,119.055,2475.000,
EURJPY,2017,3,5,31,19,30,119.167,119.186,119.016,119.068,3459.000,
EURJPY,2017,3,5,31,19,0,119.177,119.212,119.136,119.169,3001.000,
EURJPY,2017,3,5,31,18,30,119.229,119.243,119.148,119.176,3767.000,
EURJPY,2017,3,5,31,18,0,119.165,119.271,119.123,119.227,6783.000,
EURJPY,2017,3,5,31,17,30,119.158,119.293,119.107,119.164,6920.000,
EURJPY,2017,3,5,31,17,0,119.280,119.332,119.104,119.161,6185.000,
EURJPY,2017,3,5,31,16,30,119.311,119.338,119.240,119.282,5430.000,
EURJPY,2017,3,5,31,16,0,119.462,119.492,119.285,119.314,5880.000,
EURJPY,2017,3,5,31,15,30,119.502,119.590,119.433,119.461,4762.000,
EURJPY,2017,3,5,31,15,0,119.439,119.565,119.431,119.533,4036.000,
EURJPY,2017,3,5,31,14,30,119.455,119.509,119.409,119.438,3311.000,
EURJPY,2017,3,5,31,14,0,119.420,119.508,119.413,119.455,2703.000,
EURJPY,2017,3,5,31,13,30,119.474,119.476,119.371,119.424,2569.000,
EURJPY,2017,3,5,31,13,0,119.468,119.530,119.438,119.474,3457.000,
EURJPY,2017,3,5,31,12,30,119.595,119.680,119.456,119.469,3860.000,
EURJPY,2017,3,5,31,12,0,119.608,119.646,119.556,119.596,3983.000,
EURJPY,2017,3,5,31,11,30,119.650,119.669,119.582,119.609,3756.000,
EURJPY,2017,3,5,31,11,0,119.517,119.662,119.509,119.648,3258.000,
EURJPY,2017,3,5,31,10,30,119.497,119.612,119.484,119.517,4031.000,
EURJPY,2017,3,5,31,10,0,119.473,119.512,119.381,119.497,4588.000,
EURJPY,2017,3,5,31,9,30,119.394,119.506,119.362,119.474,3862.000,
EURJPY,2017,3,5,31,9,0,119.442,119.513,119.373,119.395,4091.000,
EURJPY,2017,3,5,31,8,30,119.520,119.538,119.401,119.442,4284.000,
EURJPY,2017,3,5,31,8,0,119.637,119.646,119.475,119.519,3162.000,
EURJPY,2017,3,5,31,7,30,119.586,119.677,119.570,119.637,2680.000,
EURJPY,2017,3,5,31,7,0,119.647,119.692,119.568,119.585,2478.000,
EURJPY,2017,3,5,31,6,30,119.678,119.711,119.613,119.647,2079.000,
EURJPY,2017,3,5,31,6,0,119.679,119.819,119.628,119.680,2492.000,
EURJPY,2017,3,5,31,5,30,119.681,119.737,119.650,119.679,2560.000,
EURJPY,2017,3,5,31,5,0,119.669,119.758,119.622,119.680,2957.000,
EURJPY,2017,3,5,31,4,30,119.675,119.684,119.583,119.669,2850.000,
EURJPY,2017,3,5,31,4,0,119.754,119.764,119.653,119.675,3567.000,
EURJPY,2017,3,5,31,3,30,119.442,119.788,119.442,119.754,4667.000,
EURJPY,2017,3,5,31,3,0,119.414,119.464,119.357,119.443,3318.000,
EURJPY,2017,3,5,31,2,30,119.386,119.485,119.373,119.415,2053.000,
EURJPY,2017,3,5,31,2,0,119.463,119.480,119.380,119.388,1631.000,
